Date,2YO,3YO,4YO,5YO
2016-11-02,81554.43934817528,,55305.43453474696,
2016-11-03,,67424.02642341825,,
2016-11-04,,67472.952025618,,
2016-11-05,,,81556.90394733912,
2016-11-06,,,,40678.71181575755
2016-11-07,81556.90394733912,,,
2016-11-08,,66790.30940197143,55152.20179690959,
2016-11-10,,,81556.90394733912,
2016-11-11,,,,40231.30564785876
2016-11-12,81556.90394733912,66138.11214691174,,
2016-11-13,,66129.57359427129,,
2016-11-14,,,54620.50265838954,
2016-11-15,,65321.89728385276,81556.90394733912,40047.2006053848
2016-11-17,81556.90394733912,65724.3189188788,,40167.88621397878
2016-11-19,,65039.16035133336,,
2016-11-20,,65035.99031405481,67993.76146681672,
2016-11-21,,,,40061.01657954359
2016-11-22,81924.1292227502,,,
2016-11-23,,65040.29785863971,,
2016-11-24,,,,40258.09627980518
2016-11-25,,,54512.79949956112,
2016-11-26,,,82407.19065886133,40164.45391060415
2016-11-27,82628.41777428154,65121.82128099298,,
2016-11-28,,65211.30312369947,,40772.12592941016
2016-11-30,,65487.84227291863,68999.06622847958,40767.78778591033
2016-12-01,83255.83430427437,,,
2016-12-02,,65453.2130108572,,
2016-12-28,,78292.8429799988,82327.6634377806,52283.820145796926
2016-12-29,97714.81606542532,78370.36681305467,,
2017-01-02,,78692.21818591107,82806.78912841552,51953.66658714588
2017-01-03,98513.34619450707,78757.05889860945,,51864.02937127548
2017-01-06,,,,50982.516111076286
2017-01-07,,,99073.05666461344,
2017-01-08,99137.32471222091,78497.2801282384,,
2017-01-09,,78338.71506253778,67170.96543474485,50976.1575225048
2017-01-10,,,,49972.56602249351
2017-01-11,,,99464.3528585246,49707.984330537176
2017-01-12,99566.6779602189,,,
2017-01-13,,77876.2425607873,,48545.85975847294
2017-01-14,,77658.93304991236,66700.90401117176,49186.85852956236
2017-01-16,,,,47703.49071745751
2017-01-17,,,99615.13938260518,48243.40996964724
2017-01-18,99755.50417307868,77154.66039327439,,46823.307931446936
2017-01-19,,77098.57605334149,65996.89496664987,46621.03699198899
2017-01-22,,,99928.84764760158,46182.666186298215
2017-01-23,99992.1056928066,76665.0071626913,,
2017-01-24,,,65517.28880506932,
2017-01-25,,,,45454.45259291945
2017-01-27,,,99992.1056928066,44882.72949459116
2017-01-28,99992.1056928066,76553.767644759,64767.92533171763,
2017-01-29,,76803.43380006115,,
2017-01-30,,,,44589.33378628579
2017-02-01,,,99992.1056928066,44366.33728883576
2017-02-02,99992.1056928066,76916.06372184242,64285.61144304277,
2017-02-04,,77211.06980625985,,
2017-02-05,,,63353.32017580014,44481.29547522262
2017-02-06,,,99992.1056928066,44430.18214336553
2017-02-07,99919.81078400086,77581.50549607718,,
2017-02-09,,,62706.46500163824,
2017-02-10,,78010.83392711708,,
2017-02-11,,,99632.89036467802,44460.71843282529
2017-02-12,99696.3537931467,78271.10034211756,,
2017-02-13,,,62327.92475385299,
2017-02-16,,78750.78189489082,60569.25600609538,44361.17336677821
2017-02-17,99449.89387676344,78835.98647046804,99429.56093366184,44651.14381113874
2017-02-21,,79337.86636034002,79616.20617022677,44361.17336677821
2017-02-22,,79080.80332074202,,
2017-02-23,99341.4515135548,,,44757.483638842765
2017-02-26,,,59388.34852708723,44361.17336677821
2017-02-27,,78993.72081695325,99073.53508680408,
2017-02-28,99037.81289657066,79074.93180828681,,
2017-03-01,,,,44819.51520500342
2017-03-03,,,,44421.10204118298
2017-03-04,,78561.18366370065,79124.72595546812,
2017-03-05,98799.23969751166,78536.92068584163,,
2017-03-07,,77507.25944626675,,44916.993380398766
2017-03-08,,77645.120352994,,
2017-03-09,,,98799.23969751166,44723.777518757066
2017-03-10,98799.23969751166,,59525.427211236936,
2017-03-11,,77235.47577347513,,
2017-03-12,,76779.06425621232,,45072.07229580045
2017-03-13,,76204.49873468446,,
2017-03-14,,,98673.5451401562,44686.50045640412
2017-03-15,98551.37143874906,,,
2017-03-16,,,59798.36610234389,
2017-03-17,,75804.55643227279,,
2017-03-18,,75046.19129469778,,45147.39634042412
2017-03-19,,,98436.94362042828,44686.50045640412
2017-03-20,98370.3994430048,,,
2017-03-22,,74967.11699592244,60610.16202612735,
2017-03-23,,74798.97304011026,,
2017-03-24,,,98016.90550579224,44843.320716111666
2017-03-25,98020.16693024964,,,
2017-03-28,,75025.71616318283,60876.82918830871,
2017-03-29,97318.1453157938,75078.32661707781,97420.47250814475,44279.84159437174
2017-03-30,,,,44536.87513663224
2017-04-02,,76248.15734844378,,
2017-04-03,96681.22479109306,76118.37884519945,78834.28090816102,43818.96155073505
2017-04-04,,,,43892.3648322091
2017-04-05,,76308.29356804129,,
2017-04-06,95627.30057365914,,95667.9664598624,
2017-04-07,,77750.57699871613,,
2017-04-08,,77361.06630342567,,43047.81585680699
2017-04-09,,,60729.978950050805,
2017-04-10,95065.72404990018,77869.8635982456,95410.4158472419,43360.29645817619
2017-04-11,,78721.9031987021,94298.88162435344,
2017-04-12,94004.53806707283,,,42511.62861649765
2017-04-13,,,,42586.96960003983
2017-04-14,,79680.91455451978,,
2017-04-15,,80333.91507337509,77142.37509260859,
2017-04-16,,,,41836.87613431059
2017-04-17,93527.02715680964,,,
2017-04-18,,80751.29990357248,92993.95852040956,42194.38102697703
2017-04-19,,81114.5732553039,,
2017-04-20,92806.2043895993,,,
2017-04-21,,,60460.33152980135,41558.79440175512
2017-04-22,,,92834.90972103688,41720.663559218665
2017-04-23,,81392.07555653891,,
2017-04-25,92972.9272742115,81303.87176651898,,
2017-04-26,,,,41584.47811935717
2017-04-27,,,76863.0906153681,
2017-04-28,,,,41826.175650168574
2017-04-29,,80937.83012474244,,
2017-04-30,93790.23530168438,,,
2017-05-01,,79740.49436359452,,41997.62276866281
2017-05-02,,80207.04675761516,77219.72768132716,
2017-05-03,93973.55453472752,,,42152.15786009455
2017-05-04,95285.1907373462,78566.60578186107,94027.77571633185,
2017-05-06,,79112.4480797383,,42724.67952199341
2017-05-07,,78607.2716680643,95489.03656056814,
2017-05-08,95606.96763055754,77521.30411522885,,
2017-05-09,96780.14617300812,,59139.9453358099,42985.153177109285
2017-05-10,,77026.00896721384,97134.64942225916,
2017-05-11,97009.94070456922,76285.40018025281,96196.62298050449,43518.28045274748
2017-05-12,,,97281.0466125908,
2017-05-13,98267.87211778936,75923.75632270015,,
2017-05-14,,74353.61997120571,98585.20871749462,
2017-05-15,,,58453.16728188819,43862.45675566736
2017-05-16,,74829.5007483055,,
2017-05-17,,73991.54296960354,,44200.974421129096
2017-05-18,99078.09148861955,,,
2017-05-19,,73674.09766935483,99278.66909274984,
2017-05-21,,,57868.298229516135,44574.131832742
2017-05-22,,72725.75744409536,,44675.65622008324
2017-05-23,99338.43922568792,71901.66068022768,,
2017-05-24,,,99317.35321061958,
2017-05-27,,72145.60165242045,57212.53595867475,45126.43932733988
2017-05-28,98875.1493517577,71905.53362177082,98505.30381828826,
2017-05-30,97832.29529223467,,,
2017-05-31,,,97064.16188617356,
2017-06-01,96847.27715975628,,56538.80422620746,45095.62391760032
2017-06-02,,72447.74543781398,97823.25842863396,45258.16699428247
